Num,Hour,DateType
0,0,3
0,1,3
0,2,3
0,3,3
0,4,3
0,5,3
0,6,3
0,7,3
0,8,3
0,9,3
0,10,3
9,11,3
39,12,3
81,13,3
119,14,3
200,15,3
250,16,3
227,17,3
188,18,3
182,19,3
205,20,3
197,21,3
221,22,3
227,23,3
285,24,3
256,25,3
268,26,3
321,27,3
301,28,3
288,29,3
279,30,3
291,31,3
320,32,3
307,33,3
326,34,3
280,35,3
354,36,3
291,37,3
248,38,3
215,39,3
178,40,3
201,41,3
235,42,3
160,43,3
149,44,3
132,45,3
79,46,3
30,47,3
15,0,2
2,1,2
0,2,2
0,3,2
0,4,2
0,5,2
0,6,2
0,7,2
0,8,2
0,9,2
0,10,2
10,11,2
115,12,2
297,13,2
518,14,2
631,15,2
663,16,2
497,17,2
262,18,2
176,19,2
153,20,2
156,21,2
134,22,2
140,23,2
165,24,2
174,25,2
143,26,2
182,27,2
153,28,2
135,29,2
198,30,2
206,31,2
212,32,2
248,33,2
431,34,2
413,35,2
537,36,2
427,37,2
342,38,2
250,39,2
184,40,2
246,41,2
183,42,2
179,43,2
127,44,2
125,45,2
39,46,2
13,47,2
0,0,2
0,1,2
0,2,2
0,3,2
0,4,2
0,5,2
0,6,2
0,7,2
0,8,2
0,9,2
0,10,2
3,11,2
83,12,2
291,13,2
480,14,2
572,15,2
693,16,2
449,17,2
269,18,2
230,19,2
149,20,2
148,21,2
146,22,2
106,23,2
163,24,2
157,25,2
161,26,2
138,27,2
127,28,2
131,29,2
207,30,2
176,31,2
175,32,2
317,33,2
412,34,2
414,35,2
461,36,2
492,37,2
338,38,2
204,39,2
207,40,2
268,41,2
202,42,2
192,43,2
140,44,2
144,45,2
60,46,2
19,47,2
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
0,11,1
98,12,1
270,13,1
494,14,1
592,15,1
658,16,1
515,17,1
299,18,1
198,19,1
171,20,1
127,21,1
137,22,1
132,23,1
177,24,1
124,25,1
118,26,1
145,27,1
108,28,1
171,29,1
205,30,1
266,31,1
244,32,1
277,33,1
428,34,1
414,35,1
522,36,1
468,37,1
330,38,1
234,39,1
224,40,1
241,41,1
241,42,1
178,43,1
150,44,1
147,45,1
76,46,1
10,47,1
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
2,11,1
61,12,1
108,13,1
182,14,1
345,15,1
408,16,1
408,17,1
300,18,1
173,19,1
185,20,1
181,21,1
174,22,1
202,23,1
221,24,1
205,25,1
179,26,1
181,27,1
209,28,1
187,29,1
186,30,1
261,31,1
257,32,1
207,33,1
316,34,1
334,35,1
362,36,1
314,37,1
265,38,1
192,39,1
177,40,1
157,41,1
192,42,1
207,43,1
127,44,1
120,45,1
64,46,1
14,47,1
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
2,11,1
43,12,1
110,13,1
148,14,1
213,15,1
304,16,1
306,17,1
192,18,1
191,19,1
192,20,1
160,21,1
184,22,1
214,23,1
239,24,1
201,25,1
194,26,1
217,27,1
224,28,1
218,29,1
209,30,1
240,31,1
236,32,1
236,33,1
300,34,1
286,35,1
303,36,1
289,37,1
216,38,1
181,39,1
158,40,1
145,41,1
158,42,1
154,43,1
115,44,1
125,45,1
30,46,1
13,47,1
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
6,11,1
112,12,1
271,13,1
507,14,1
620,15,1
625,16,1
482,17,1
252,18,1
201,19,1
168,20,1
149,21,1
132,22,1
134,23,1
137,24,1
147,25,1
116,26,1
150,27,1
125,28,1
112,29,1
146,30,1
158,31,1
177,32,1
228,33,1
364,34,1
365,35,1
484,36,1
436,37,1
330,38,1
238,39,1
188,40,1
198,41,1
188,42,1
156,43,1
109,44,1
137,45,1
36,46,1
12,47,1
1,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
