Num,Hour,DateType
0,0,3
0,1,3
0,2,3
0,3,3
2,4,3
0,5,3
0,6,3
0,7,3
0,8,3
0,9,3
0,10,3
49,11,3
176,12,3
359,13,3
307,14,3
372,15,3
461,16,3
513,17,3
508,18,3
512,19,3
616,20,3
556,21,3
737,22,3
790,23,3
920,24,3
958,25,3
1052,26,3
855,27,3
867,28,3
798,29,3
904,30,3
902,31,3
850,32,3
889,33,3
991,34,3
968,35,3
983,36,3
967,37,3
730,38,3
750,39,3
703,40,3
600,41,3
672,42,3
574,43,3
499,44,3
383,45,3
203,46,3
48,47,3
4,0,2
3,1,2
6,2,2
0,3,2
0,4,2
0,5,2
0,6,2
0,7,2
2,8,2
2,9,2
0,10,2
30,11,2
194,12,2
365,13,2
675,14,2
1301,15,2
1577,16,2
1268,17,2
712,18,2
446,19,2
398,20,2
377,21,2
352,22,2
372,23,2
518,24,2
446,25,2
372,26,2
445,27,2
428,28,2
364,29,2
442,30,2
368,31,2
486,32,2
601,33,2
622,34,2
852,35,2
1197,36,2
1136,37,2
749,38,2
636,39,2
588,40,2
587,41,2
525,42,2
373,43,2
294,44,2
277,45,2
88,46,2
39,47,2
1,0,2
0,1,2
0,2,2
0,3,2
0,4,2
0,5,2
0,6,2
0,7,2
1,8,2
0,9,2
0,10,2
18,11,2
112,12,2
327,13,2
647,14,2
1227,15,2
1569,16,2
1302,17,2
758,18,2
454,19,2
427,20,2
346,21,2
322,22,2
404,23,2
450,24,2
464,25,2
358,26,2
432,27,2
390,28,2
361,29,2
436,30,2
429,31,2
504,32,2
596,33,2
740,34,2
901,35,2
1220,36,2
1175,37,2
772,38,2
666,39,2
593,40,2
688,41,2
562,42,2
474,43,2
341,44,2
307,45,2
91,46,2
34,47,2
2,0,1
0,1,1
4,2,1
0,3,1
0,4,1
0,5,1
4,6,1
0,7,1
4,8,1
0,9,1
0,10,1
18,11,1
114,12,1
277,13,1
612,14,1
1244,15,1
1599,16,1
1221,17,1
743,18,1
463,19,1
365,20,1
330,21,1
348,22,1
383,23,1
484,24,1
470,25,1
415,26,1
504,27,1
395,28,1
412,29,1
522,30,1
513,31,1
566,32,1
633,33,1
773,34,1
1073,35,1
1228,36,1
1294,37,1
908,38,1
697,39,1
637,40,1
827,41,1
613,42,1
563,43,1
408,44,1
375,45,1
121,46,1
38,47,1
2,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
25,11,1
78,12,1
219,13,1
361,14,1
641,15,1
979,16,1
851,17,1
604,18,1
509,19,1
517,20,1
521,21,1
469,22,1
517,23,1
615,24,1
667,25,1
588,26,1
572,27,1
607,28,1
465,29,1
588,30,1
634,31,1
662,32,1
640,33,1
774,34,1
937,35,1
996,36,1
901,37,1
742,38,1
618,39,1
518,40,1
538,41,1
629,42,1
474,43,1
389,44,1
345,45,1
163,46,1
35,47,1
6,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
19,11,1
97,12,1
207,13,1
296,14,1
454,15,1
629,16,1
533,17,1
506,18,1
433,19,1
517,20,1
482,21,1
507,22,1
456,23,1
674,24,1
719,25,1
583,26,1
669,27,1
610,28,1
593,29,1
700,30,1
592,31,1
596,32,1
674,33,1
727,34,1
779,35,1
794,36,1
685,37,1
646,38,1
607,39,1
552,40,1
440,41,1
485,42,1
542,43,1
326,44,1
292,45,1
131,46,1
31,47,1
3,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
4,8,1
2,9,1
0,10,1
44,11,1
157,12,1
318,13,1
686,14,1
1291,15,1
1663,16,1
1248,17,1
728,18,1
439,19,1
399,20,1
374,21,1
374,22,1
370,23,1
518,24,1
376,25,1
347,26,1
399,27,1
330,28,1
341,29,1
391,30,1
368,31,1
436,32,1
519,33,1
599,34,1
800,35,1
1033,36,1
1015,37,1
722,38,1
567,39,1
518,40,1
519,41,1
500,42,1
397,43,1
330,44,1
283,45,1
58,46,1
33,47,1
1,0,1
2,1,1
1,2,1
