Num,Hour,DateType
0,0,3
0,1,3
0,2,3
0,3,3
0,4,3
2,5,3
0,6,3
0,7,3
5,8,3
0,9,3
0,10,3
9,11,3
80,12,3
156,13,3
212,14,3
302,15,3
385,16,3
456,17,3
491,18,3
475,19,3
542,20,3
537,21,3
598,22,3
638,23,3
657,24,3
689,25,3
757,26,3
820,27,3
920,28,3
876,29,3
916,30,3
891,31,3
1065,32,3
872,33,3
1043,34,3
1054,35,3
943,36,3
866,37,3
818,38,3
715,39,3
783,40,3
685,41,3
647,42,3
590,43,3
543,44,3
451,45,3
214,46,3
78,47,3
3,0,2
0,1,2
10,2,2
8,3,2
0,4,2
4,5,2
4,6,2
2,7,2
3,8,2
0,9,2
0,10,2
20,11,2
144,12,2
312,13,2
852,14,2
1753,15,2
2241,16,2
1941,17,2
1615,18,2
835,19,2
504,20,2
536,21,2
434,22,2
522,23,2
526,24,2
620,25,2
498,26,2
514,27,2
522,28,2
499,29,2
558,30,2
541,31,2
586,32,2
674,33,2
1058,34,2
1601,35,2
1935,36,2
1533,37,2
1154,38,2
813,39,2
749,40,2
709,41,2
712,42,2
505,43,2
441,44,2
336,45,2
123,46,2
38,47,2
3,0,2
0,1,2
0,2,2
0,3,2
0,4,2
1,5,2
0,6,2
0,7,2
0,8,2
0,9,2
0,10,2
15,11,2
83,12,2
295,13,2
755,14,2
1573,15,2
2150,16,2
1950,17,2
1619,18,2
851,19,2
622,20,2
443,21,2
474,22,2
478,23,2
526,24,2
592,25,2
545,26,2
506,27,2
483,28,2
468,29,2
505,30,2
556,31,2
552,32,2
710,33,2
918,34,2
1527,35,2
1818,36,2
1469,37,2
1158,38,2
770,39,2
815,40,2
761,41,2
657,42,2
606,43,2
515,44,2
338,45,2
124,46,2
29,47,2
4,0,1
7,1,1
4,2,1
0,3,1
1,4,1
2,5,1
0,6,1
0,7,1
2,8,1
1,9,1
1,10,1
12,11,1
88,12,1
276,13,1
695,14,1
1598,15,1
2094,16,1
2040,17,1
1590,18,1
875,19,1
541,20,1
481,21,1
418,22,1
425,23,1
536,24,1
556,25,1
554,26,1
566,27,1
489,28,1
539,29,1
634,30,1
655,31,1
703,32,1
827,33,1
1103,34,1
1630,35,1
2104,36,1
1640,37,1
1228,38,1
1022,39,1
908,40,1
956,41,1
932,42,1
762,43,1
567,44,1
403,45,1
173,46,1
68,47,1
0,0,1
0,1,1
3,2,1
6,3,1
3,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
11,11,1
52,12,1
171,13,1
266,14,1
536,15,1
922,16,1
925,17,1
813,18,1
776,19,1
779,20,1
608,21,1
639,22,1
667,23,1
734,24,1
923,25,1
823,26,1
813,27,1
763,28,1
831,29,1
930,30,1
856,31,1
887,32,1
1020,33,1
1015,34,1
1207,35,1
1260,36,1
1060,37,1
753,38,1
634,39,1
638,40,1
819,41,1
710,42,1
634,43,1
495,44,1
370,45,1
171,46,1
49,47,1
0,0,1
0,1,1
0,2,1
0,3,1
2,4,1
0,5,1
0,6,1
0,7,1
2,8,1
0,9,1
0,10,1
7,11,1
57,12,1
119,13,1
227,14,1
405,15,1
606,16,1
634,17,1
518,18,1
598,19,1
687,20,1
550,21,1
597,22,1
609,23,1
682,24,1
852,25,1
804,26,1
750,27,1
842,28,1
829,29,1
799,30,1
789,31,1
803,32,1
878,33,1
966,34,1
980,35,1
937,36,1
870,37,1
692,38,1
637,39,1
680,40,1
670,41,1
663,42,1
565,43,1
412,44,1
329,45,1
121,46,1
26,47,1
3,0,1
2,1,1
0,2,1
3,3,1
5,4,1
2,5,1
0,6,1
6,7,1
0,8,1
1,9,1
1,10,1
20,11,1
102,12,1
279,13,1
871,14,1
1735,15,1
2220,16,1
1990,17,1
1625,18,1
877,19,1
564,20,1
508,21,1
455,22,1
465,23,1
523,24,1
540,25,1
553,26,1
529,27,1
477,28,1
510,29,1
456,30,1
531,31,1
542,32,1
647,33,1
901,34,1
1449,35,1
1970,36,1
1509,37,1
1142,38,1
803,39,1
813,40,1
720,41,1
709,42,1
534,43,1
456,44,1
322,45,1
93,46,1
50,47,1
