Num,Minute,DateType
0,0,3
0,1,3
0,2,3
0,3,3
0,4,3
0,5,3
0,6,3
0,7,3
0,8,3
0,9,3
0,10,3
0,11,3
1,12,3
1,13,3
0,14,3
0,15,3
0,16,3
0,17,3
0,18,3
0,19,3
0,20,3
0,21,3
0,22,3
0,23,3
0,24,3
0,25,3
0,26,3
0,27,3
0,28,3
0,29,3
0,30,3
0,31,3
0,32,3
0,33,3
2,34,3
13,35,3
9,36,3
27,37,3
24,38,3
24,39,3
38,40,3
38,41,3
31,42,3
58,43,3
70,44,3
82,45,3
65,46,3
68,47,3
96,48,3
76,49,3
69,50,3
81,51,3
107,52,3
87,53,3
78,54,3
97,55,3
87,56,3
95,57,3
89,58,3
82,59,3
99,60,3
103,61,3
117,62,3
95,63,3
97,64,3
70,65,3
71,66,3
88,67,3
87,68,3
108,69,3
85,70,3
119,71,3
91,72,3
98,73,3
94,74,3
112,75,3
149,76,3
140,77,3
161,78,3
138,79,3
134,80,3
136,81,3
136,82,3
115,83,3
109,84,3
145,85,3
137,86,3
108,87,3
142,88,3
141,89,3
108,90,3
119,91,3
128,92,3
126,93,3
137,94,3
143,95,3
182,96,3
150,97,3
126,98,3
176,99,3
133,100,3
156,101,3
135,102,3
161,103,3
160,104,3
191,105,3
139,106,3
178,107,3
154,108,3
118,109,3
146,110,3
138,111,3
123,112,3
110,113,3
84,114,3
125,115,3
110,116,3
114,117,3
94,118,3
76,119,3
101,120,3
97,121,3
126,122,3
71,123,3
81,124,3
78,125,3
78,126,3
102,127,3
78,128,3
62,129,3
79,130,3
65,131,3
71,132,3
51,133,3
77,134,3
43,135,3
34,136,3
67,137,3
27,138,3
20,139,3
28,140,3
12,141,3
7,142,3
4,143,3
1,0,2
0,1,2
0,2,2
0,3,2
0,4,2
0,5,2
0,6,2
0,7,2
0,8,2
0,9,2
0,10,2
0,11,2
0,12,2
0,13,2
0,14,2
0,15,2
0,16,2
0,17,2
0,18,2
0,19,2
0,20,2
0,21,2
1,22,2
0,23,2
0,24,2
0,25,2
0,26,2
0,27,2
0,28,2
0,29,2
0,30,2
0,31,2
0,32,2
0,33,2
5,34,2
17,35,2
10,36,2
43,37,2
28,38,2
52,39,2
53,40,2
93,41,2
100,42,2
137,43,2
180,44,2
227,45,2
307,46,2
348,47,2
381,48,2
445,49,2
447,50,2
354,51,2
290,52,2
275,53,2
209,54,2
173,55,2
102,56,2
114,57,2
139,58,2
112,59,2
100,60,2
108,61,2
91,62,2
74,63,2
103,64,2
88,65,2
93,66,2
70,67,2
73,68,2
79,69,2
79,70,2
78,71,2
83,72,2
61,73,2
97,74,2
63,75,2
73,76,2
74,77,2
78,78,2
105,79,2
125,80,2
104,81,2
88,82,2
81,83,2
101,84,2
89,85,2
85,86,2
77,87,2
91,88,2
68,89,2
84,90,2
87,91,2
87,92,2
107,93,2
121,94,2
85,95,2
105,96,2
83,97,2
104,98,2
123,99,2
113,100,2
127,101,2
190,102,2
258,103,2
254,104,2
260,105,2
283,106,2
259,107,2
224,108,2
233,109,2
202,110,2
208,111,2
192,112,2
138,113,2
124,114,2
158,115,2
100,116,2
104,117,2
96,118,2
91,119,2
101,120,2
96,121,2
98,122,2
77,123,2
84,124,2
68,125,2
95,126,2
80,127,2
67,128,2
62,129,2
52,130,2
64,131,2
43,132,2
59,133,2
26,134,2
50,135,2
40,136,2
28,137,2
19,138,2
21,139,2
8,140,2
3,141,2
6,142,2
1,143,2
0,0,2
0,1,2
0,2,2
0,3,2
0,4,2
0,5,2
0,6,2
0,7,2
1,8,2
1,9,2
0,10,2
0,11,2
2,12,2
0,13,2
0,14,2
0,15,2
0,16,2
0,17,2
0,18,2
0,19,2
0,20,2
0,21,2
0,22,2
0,23,2
0,24,2
0,25,2
0,26,2
0,27,2
0,28,2
0,29,2
0,30,2
0,31,2
0,32,2
0,33,2
4,34,2
14,35,2
11,36,2
24,37,2
30,38,2
39,39,2
52,40,2
55,41,2
79,42,2
145,43,2
148,44,2
219,45,2
310,46,2
291,47,2
364,48,2
437,49,2
402,50,2
385,51,2
298,52,2
292,53,2
172,54,2
