Num,Hour,Date,DateType
52,6,2020/5/1,3
147,7,2020/5/1,3
283,8,2020/5/1,3
281,9,2020/5/1,3
316,10,2020/5/1,3
283,11,2020/5/1,3
293,12,2020/5/1,3
320,13,2020/5/1,3
340,14,2020/5/1,3
326,15,2020/5/1,3
328,16,2020/5/1,3
358,17,2020/5/1,3
340,18,2020/5/1,3
260,19,2020/5/1,3
265,20,2020/5/1,3
231,21,2020/5/1,3
129,22,2020/5/1,3
9,23,2020/5/1,3
51,6,2020/5/2,3
148,7,2020/5/2,3
267,8,2020/5/2,3
273,9,2020/5/2,3
299,10,2020/5/2,3
342,11,2020/5/2,3
269,12,2020/5/2,3
302,13,2020/5/2,3
346,14,2020/5/2,3
312,15,2020/5/2,3
313,16,2020/5/2,3
372,17,2020/5/2,3
300,18,2020/5/2,3
323,19,2020/5/2,3
279,20,2020/5/2,3
256,21,2020/5/2,3
168,22,2020/5/2,3
3,23,2020/5/2,3
49,6,2020/5/3,3
164,7,2020/5/3,3
284,8,2020/5/3,3
268,9,2020/5/3,3
259,10,2020/5/3,3
315,11,2020/5/3,3
270,12,2020/5/3,3
298,13,2020/5/3,3
311,14,2020/5/3,3
287,15,2020/5/3,3
338,16,2020/5/3,3
345,17,2020/5/3,3
362,18,2020/5/3,3
323,19,2020/5/3,3
277,20,2020/5/3,3
242,21,2020/5/3,3
119,22,2020/5/3,3
2,23,2020/5/3,3
47,6,2020/5/4,3
177,7,2020/5/4,3
308,8,2020/5/4,3
237,9,2020/5/4,3
264,10,2020/5/4,3
260,11,2020/5/4,3
250,12,2020/5/4,3
276,13,2020/5/4,3
244,14,2020/5/4,3
262,15,2020/5/4,3
311,16,2020/5/4,3
363,17,2020/5/4,3
372,18,2020/5/4,3
299,19,2020/5/4,3
233,20,2020/5/4,3
246,21,2020/5/4,3
108,22,2020/5/4,3
4,23,2020/5/4,3
60,6,2020/5/5,3
195,7,2020/5/5,3
303,8,2020/5/5,3
239,9,2020/5/5,3
229,10,2020/5/5,3
228,11,2020/5/5,3
273,12,2020/5/5,3
274,13,2020/5/5,3
315,14,2020/5/5,3
291,15,2020/5/5,3
305,16,2020/5/5,3
338,17,2020/5/5,3
376,18,2020/5/5,3
275,19,2020/5/5,3
210,20,2020/5/5,3
221,21,2020/5/5,3
110,22,2020/5/5,3
3,23,2020/5/5,3
73,6,2020/5/6,1
515,7,2020/5/6,1
794,8,2020/5/6,1
323,9,2020/5/6,1
215,10,2020/5/6,1
223,11,2020/5/6,1
241,12,2020/5/6,1
239,13,2020/5/6,1
218,14,2020/5/6,1
242,15,2020/5/6,1
240,16,2020/5/6,1
479,17,2020/5/6,1
698,18,2020/5/6,1
320,19,2020/5/6,1
221,20,2020/5/6,1
199,21,2020/5/6,1
95,22,2020/5/6,1
3,23,2020/5/6,1
102,6,2020/5/7,1
479,7,2020/5/7,1
803,8,2020/5/7,1
333,9,2020/5/7,1
200,10,2020/5/7,1
252,11,2020/5/7,1
226,12,2020/5/7,1
229,13,2020/5/7,1
236,14,2020/5/7,1
261,15,2020/5/7,1
273,16,2020/5/7,1
477,17,2020/5/7,1
639,18,2020/5/7,1
325,19,2020/5/7,1
267,20,2020/5/7,1
221,21,2020/5/7,1
107,22,2020/5/7,1
2,23,2020/5/7,1
81,6,2020/5/8,1
458,7,2020/5/8,1
803,8,2020/5/8,1
348,9,2020/5/8,1
229,10,2020/5/8,1
226,11,2020/5/8,1
233,12,2020/5/8,1
251,13,2020/5/8,1
262,14,2020/5/8,1
285,15,2020/5/8,1
329,16,2020/5/8,1
488,17,2020/5/8,1
678,18,2020/5/8,1
307,19,2020/5/8,1
234,20,2020/5/8,1
229,21,2020/5/8,1
112,22,2020/5/8,1
1,23,2020/5/8,1
84,6,2020/5/9,2
453,7,2020/5/9,2
757,8,2020/5/9,2
344,9,2020/5/9,2
242,10,2020/5/9,2
237,11,2020/5/9,2
246,12,2020/5/9,2
265,13,2020/5/9,2
277,14,2020/5/9,2
259,15,2020/5/9,2
337,16,2020/5/9,2
507,17,2020/5/9,2
676,18,2020/5/9,2
389,19,2020/5/9,2
270,20,2020/5/9,2
229,21,2020/5/9,2
135,22,2020/5/9,2
3,23,2020/5/9,2
55,6,2020/5/10,2
183,7,2020/5/10,2
343,8,2020/5/10,2
260,9,2020/5/10,2
222,10,2020/5/10,2
226,11,2020/5/10,2
220,12,2020/5/10,2
294,13,2020/5/10,2
314,14,2020/5/10,2
277,15,2020/5/10,2
279,16,2020/5/10,2
302,17,2020/5/10,2
379,18,2020/5/10,2
273,19,2020/5/10,2
244,20,2020/5/10,2
227,21,2020/5/10,2
107,22,2020/5/10,2
4,23,2020/5/10,2
73,6,2020/5/11,1
539,7,2020/5/11,1
831,8,2020/5/11,1
328,9,2020/5/11,1
219,10,2020/5/11,1
225,11,2020/5/11,1
244,12,2020/5/11,1
271,13,2020/5/11,1
250,14,2020/5/11,1
267,15,2020/5/11,1
268,16,2020/5/11,1
482,17,2020/5/11,1
633,18,2020/5/11,1
309,19,2020/5/11,1
261,20,2020/5/11,1
212,21,2020/5/11,1
96,22,2020/5/11,1
2,23,2020/5/11,1
95,6,2020/5/12,1
527,7,2020/5/12,1
807,8,2020/5/12,1
320,9,2020/5/12,1
230,10,2020/5/12,1
217,11,2020/5/12,1
257,12,2020/5/12,1
250,13,2020/5/12,1
259,14,2020/5/12,1
281,15,2020/5/12,1
293,16,2020/5/12,1
528,17,2020/5/12,1
681,18,2020/5/12,1
326,19,2020/5/12,1
266,20,2020/5/12,1
218,21,2020/5/12,1
103,22,2020/5/12,1
3,23,2020/5/12,1
88,6,2020/5/13,1
490,7,2020/5/13,1
811,8,2020/5/13,1
360,9,2020/5/13,1
257,10,2020/5/13,1
243,11,2020/5/13,1
269,12,2020/5/13,1
257,13,2020/5/13,1
288,14,2020/5/13,1
310,15,2020/5/13,1
283,16,2020/5/13,1
529,17,2020/5/13,1
659,18,2020/5/13,1
351,19,2020/5/13,1
273,20,2020/5/13,1
211,21,2020/5/13,1
100,22,2020/5/13,1
2,23,2020/5/13,1
83,6,2020/5/14,1
482,7,2020/5/14,1
816,8,2020/5/14,1
354,9,2020/5/14,1
226,10,2020/5/14,1
199,11,2020/5/14,1
256,12,2020/5/14,1
253,13,2020/5/14,1
253,14,2020/5/14,1
301,15,2020/5/14,1
301,16,2020/5/14,1
496,17,2020/5/14,1
646,18,2020/5/14,1
311,19,2020/5/14,1
273,20,2020/5/14,1
256,21,2020/5/14,1
117,22,2020/5/14,1
4,23,2020/5/14,1
91,6,2020/5/15,1
513,7,2020/5/15,1
833,8,2020/5/15,1
381,9,2020/5/15,1
245,10,2020/5/15,1
263,11,2020/5/15,1
256,12,2020/5/15,1
306,13,2020/5/15,1
289,14,2020/5/15,1
346,15,2020/5/15,1
336,16,2020/5/15,1
629,17,2020/5/15,1
751,18,2020/5/15,1
416,19,2020/5/15,1
300,20,2020/5/15,1
250,21,2020/5/15,1
130,22,2020/5/15,1
8,23,2020/5/15,1
76,6,2020/5/16,2
232,7,2020/5/16,2
383,8,2020/5/16,2
301,9,2020/5/16,2
252,10,2020/5/16,2
271,11,2020/5/16,2
311,12,2020/5/16,2
320,13,2020/5/16,2
331,14,2020/5/16,2
325,15,2020/5/16,2
390,16,2020/5/16,2
426,17,2020/5/16,2
404,18,2020/5/16,2
279,19,2020/5/16,2
258,20,2020/5/16,2
267,21,2020/5/16,2
132,22,2020/5/16,2
4,23,2020/5/16,2
74,6,2020/5/17,2
165,7,2020/5/17,2
343,8,2020/5/17,2
231,9,2020/5/17,2
261,10,2020/5/17,2
273,11,2020/5/17,2
244,12,2020/5/17,2
312,13,2020/5/17,2
302,14,2020/5/17,2
342,15,2020/5/17,2
358,16,2020/5/17,2
386,17,2020/5/17,2
409,18,2020/5/17,2
304,19,2020/5/17,2
315,20,2020/5/17,2
253,21,2020/5/17,2
140,22,2020/5/17,2
2,23,2020/5/17,2
123,6,2020/5/18,1
616,7,2020/5/18,1
857,8,2020/5/18,1
388,9,2020/5/18,1
249,10,2020/5/18,1
211,11,2020/5/18,1
260,12,2020/5/18,1
264,13,2020/5/18,1
239,14,2020/5/18,1
240,15,2020/5/18,1
342,16,2020/5/18,1
513,17,2020/5/18,1
700,18,2020/5/18,1
371,19,2020/5/18,1
277,20,2020/5/18,1
214,21,2020/5/18,1
118,22,2020/5/18,1
1,23,2020/5/18,1
85,6,2020/5/19,1
530,7,2020/5/19,1
878,8,2020/5/19,1
362,9,2020/5/19,1
267,10,2020/5/19,1
226,11,2020/5/19,1
266,12,2020/5/19,1
240,13,2020/5/19,1
259,14,2020/5/19,1
266,15,2020/5/19,1
287,16,2020/5/19,1
496,17,2020/5/19,1
719,18,2020/5/19,1
320,19,2020/5/19,1
297,20,2020/5/19,1
215,21,2020/5/19,1
117,22,2020/5/19,1
4,23,2020/5/19,1
99,6,2020/5/20,1
507,7,2020/5/20,1
881,8,2020/5/20,1
357,9,2020/5/20,1
258,10,2020/5/20,1
269,11,2020/5/20,1
236,12,2020/5/20,1
271,13,2020/5/20,1
244,14,2020/5/20,1
305,15,2020/5/20,1
385,16,2020/5/20,1
564,17,2020/5/20,1
786,18,2020/5/20,1
395,19,2020/5/20,1
306,20,2020/5/20,1
260,21,2020/5/20,1
138,22,2020/5/20,1
2,23,2020/5/20,1
69,6,2020/5/21,1
489,7,2020/5/21,1
883,8,2020/5/21,1
367,9,2020/5/21,1
230,10,2020/5/21,1
231,11,2020/5/21,1
250,12,2020/5/21,1
294,13,2020/5/21,1
257,14,2020/5/21,1
258,15,2020/5/21,1
288,16,2020/5/21,1
531,17,2020/5/21,1
708,18,2020/5/21,1
369,19,2020/5/21,1
295,20,2020/5/21,1
200,21,2020/5/21,1
120,22,2020/5/21,1
2,23,2020/5/21,1
89,6,2020/5/22,1
535,7,2020/5/22,1
853,8,2020/5/22,1
384,9,2020/5/22,1
228,10,2020/5/22,1
254,11,2020/5/22,1
266,12,2020/5/22,1
274,13,2020/5/22,1
292,14,2020/5/22,1
312,15,2020/5/22,1
359,16,2020/5/22,1
588,17,2020/5/22,1
767,18,2020/5/22,1
380,19,2020/5/22,1
318,20,2020/5/22,1
260,21,2020/5/22,1
148,22,2020/5/22,1
6,23,2020/5/22,1
79,6,2020/5/23,2
242,7,2020/5/23,2
403,8,2020/5/23,2
301,9,2020/5/23,2
273,10,2020/5/23,2
285,11,2020/5/23,2
263,12,2020/5/23,2
274,13,2020/5/23,2
298,14,2020/5/23,2
301,15,2020/5/23,2
318,16,2020/5/23,2
390,17,2020/5/23,2
475,18,2020/5/23,2
321,19,2020/5/23,2
283,20,2020/5/23,2
278,21,2020/5/23,2
138,22,2020/5/23,2
2,23,2020/5/23,2
71,6,2020/5/24,2
172,7,2020/5/24,2
293,8,2020/5/24,2
273,9,2020/5/24,2
264,10,2020/5/24,2
265,11,2020/5/24,2
310,12,2020/5/24,2
309,13,2020/5/24,2
338,14,2020/5/24,2
307,15,2020/5/24,2
339,16,2020/5/24,2
371,17,2020/5/24,2
370,18,2020/5/24,2
299,19,2020/5/24,2
256,20,2020/5/24,2
204,21,2020/5/24,2
97,22,2020/5/24,2
2,23,2020/5/24,2
103,6,2020/5/25,1
582,7,2020/5/25,1
966,8,2020/5/25,1
362,9,2020/5/25,1
229,10,2020/5/25,1
230,11,2020/5/25,1
238,12,2020/5/25,1
249,13,2020/5/25,1
260,14,2020/5/25,1
291,15,2020/5/25,1
350,16,2020/5/25,1
520,17,2020/5/25,1
696,18,2020/5/25,1
365,19,2020/5/25,1
234,20,2020/5/25,1
231,21,2020/5/25,1
116,22,2020/5/25,1
3,23,2020/5/25,1
98,6,2020/5/26,1
