Num,Hour,Date,DateType
9,6,2020/3/1,2
21,7,2020/3/1,2
26,8,2020/3/1,2
22,9,2020/3/1,2
20,10,2020/3/1,2
21,11,2020/3/1,2
19,12,2020/3/1,2
32,13,2020/3/1,2
20,14,2020/3/1,2
21,15,2020/3/1,2
25,16,2020/3/1,2
24,17,2020/3/1,2
38,18,2020/3/1,2
16,19,2020/3/1,2
8,20,2020/3/1,2
17,21,2020/3/1,2
7,22,2020/3/1,2
0,23,2020/3/1,2
10,6,2020/3/2,1
70,7,2020/3/2,1
70,8,2020/3/2,1
42,9,2020/3/2,1
27,10,2020/3/2,1
18,11,2020/3/2,1
25,12,2020/3/2,1
18,13,2020/3/2,1
28,14,2020/3/2,1
33,15,2020/3/2,1
41,16,2020/3/2,1
59,17,2020/3/2,1
69,18,2020/3/2,1
33,19,2020/3/2,1
13,20,2020/3/2,1
15,21,2020/3/2,1
2,22,2020/3/2,1
0,23,2020/3/2,1
15,6,2020/3/3,1
63,7,2020/3/3,1
56,8,2020/3/3,1
40,9,2020/3/3,1
26,10,2020/3/3,1
22,11,2020/3/3,1
17,12,2020/3/3,1
36,13,2020/3/3,1
24,14,2020/3/3,1
28,15,2020/3/3,1
36,16,2020/3/3,1
60,17,2020/3/3,1
78,18,2020/3/3,1
28,19,2020/3/3,1
15,20,2020/3/3,1
13,21,2020/3/3,1
3,22,2020/3/3,1
2,23,2020/3/3,1
18,6,2020/3/4,1
69,7,2020/3/4,1
69,8,2020/3/4,1
39,9,2020/3/4,1
32,10,2020/3/4,1
23,11,2020/3/4,1
26,12,2020/3/4,1
33,13,2020/3/4,1
28,14,2020/3/4,1
25,15,2020/3/4,1
30,16,2020/3/4,1
83,17,2020/3/4,1
83,18,2020/3/4,1
31,19,2020/3/4,1
23,20,2020/3/4,1
7,21,2020/3/4,1
3,22,2020/3/4,1
0,23,2020/3/4,1
16,6,2020/3/5,1
71,7,2020/3/5,1
87,8,2020/3/5,1
53,9,2020/3/5,1
28,10,2020/3/5,1
36,11,2020/3/5,1
38,12,2020/3/5,1
40,13,2020/3/5,1
37,14,2020/3/5,1
47,15,2020/3/5,1
40,16,2020/3/5,1
77,17,2020/3/5,1
95,18,2020/3/5,1
39,19,2020/3/5,1
14,20,2020/3/5,1
10,21,2020/3/5,1
6,22,2020/3/5,1
1,23,2020/3/5,1
15,6,2020/3/6,1
89,7,2020/3/6,1
86,8,2020/3/6,1
48,9,2020/3/6,1
31,10,2020/3/6,1
24,11,2020/3/6,1
31,12,2020/3/6,1
54,13,2020/3/6,1
31,14,2020/3/6,1
43,15,2020/3/6,1
56,16,2020/3/6,1
90,17,2020/3/6,1
105,18,2020/3/6,1
46,19,2020/3/6,1
19,20,2020/3/6,1
20,21,2020/3/6,1
4,22,2020/3/6,1
1,23,2020/3/6,1
5,6,2020/3/7,2
47,7,2020/3/7,2
52,8,2020/3/7,2
37,9,2020/3/7,2
41,10,2020/3/7,2
19,11,2020/3/7,2
33,12,2020/3/7,2
44,13,2020/3/7,2
47,14,2020/3/7,2
38,15,2020/3/7,2
39,16,2020/3/7,2
68,17,2020/3/7,2
81,18,2020/3/7,2
38,19,2020/3/7,2
18,20,2020/3/7,2
16,21,2020/3/7,2
7,22,2020/3/7,2
1,23,2020/3/7,2
7,6,2020/3/8,2
36,7,2020/3/8,2
41,8,2020/3/8,2
38,9,2020/3/8,2
27,10,2020/3/8,2
27,11,2020/3/8,2
36,12,2020/3/8,2
49,13,2020/3/8,2
43,14,2020/3/8,2
45,15,2020/3/8,2
46,16,2020/3/8,2
65,17,2020/3/8,2
78,18,2020/3/8,2
34,19,2020/3/8,2
28,20,2020/3/8,2
16,21,2020/3/8,2
4,22,2020/3/8,2
0,23,2020/3/8,2
15,6,2020/3/9,1
100,7,2020/3/9,1
132,8,2020/3/9,1
62,9,2020/3/9,1
35,10,2020/3/9,1
33,11,2020/3/9,1
42,12,2020/3/9,1
60,13,2020/3/9,1
36,14,2020/3/9,1
50,15,2020/3/9,1
66,16,2020/3/9,1
110,17,2020/3/9,1
