Num,Minute,DateType
0,0,3
0,1,3
0,2,3
0,3,3
0,4,3
61,5,3
1468,6,3
2094,7,3
3431,8,3
5003,9,3
5166,10,3
5976,11,3
5736,12,3
6450,13,3
7132,14,3
7243,15,3
7212,16,3
6331,17,3
5781,18,3
6976,19,3
5427,20,3
2268,21,3
1721,22,3
261,23,3
10,0,2
0,1,2
0,2,2
0,3,2
3,4,2
166,5,2
2504,6,2
5582,7,2
7512,8,2
6000,9,2
4223,10,2
4095,11,2
3601,12,2
3598,13,2
4281,14,2
4168,15,2
4245,16,2
5920,17,2
4450,18,2
3087,19,2
2506,20,2
1578,21,2
901,22,2
97,23,2
2,0,2
0,1,2
0,2,2
0,3,2
2,4,2
258,5,2
1590,6,2
4467,7,2
6936,8,2
5392,9,2
4069,10,2
3919,11,2
3400,12,2
3180,13,2
3826,14,2
3579,15,2
3833,16,2
5717,17,2
4264,18,2
2924,19,2
2297,20,2
1589,21,2
903,22,2
88,23,2
3,0,1
0,1,1
0,2,1
0,3,1
2,4,1
74,5,1
1449,6,1
4259,7,1
6679,8,1
5122,9,1
3548,10,1
3635,11,1
3351,12,1
3105,13,1
3862,14,1
4165,15,1
4084,16,1
6427,17,1
5148,18,1
3628,19,1
2514,20,1
1724,21,1
1277,22,1
120,23,1
1,0,1
0,1,1
0,2,1
0,3,1
4,4,1
239,5,1
930,6,1
2250,7,1
3871,8,1
4362,9,1
3950,10,1
3692,11,1
3792,12,1
3892,13,1
4342,14,1
3812,15,1
3875,16,1
3400,17,1
2764,18,1
2338,19,1
2073,20,1
1568,21,1
977,22,1
113,23,1
0,0,1
0,1,1
0,2,1
0,3,1
4,4,1
309,5,1
867,6,1
1877,7,1
3313,8,1
3852,9,1
3991,10,1
3785,11,1
3602,12,1
4034,13,1
4492,14,1
4209,15,1
4403,16,1
3517,17,1
3061,18,1
3286,19,1
2404,20,1
1673,21,1
991,22,1
113,23,1
1,0,1
0,1,1
0,2,1
0,3,1
0,4,1
50,5,1
1604,6,1
4655,7,1
7672,8,1
5070,9,1
3644,10,1
3619,11,1
3442,12,1
3568,13,1
4001,14,1
3498,15,1
3980,16,1
5621,17,1
4080,18,1
2553,19,1
2037,20,1
1670,21,1
814,22,1
82,23,1
13,0,1
6,1,1
2,2,1
4,3,1
4,4,1
60,5,1
1327,6,1
4136,7,1
6995,8,1
4921,9,1
3707,10,1
3764,11,1
3295,12,1
3592,13,1
3937,14,1
3360,15,1
4068,16,1
5520,17,1
3991,18,1
2683,19,1
2262,20,1
1788,21,1
925,22,1
85,23,1
0,0,2
2,1,2
0,2,2
4,3,2
11,4,2
210,5,2
1132,6,2
4128,7,2
7065,8,2
4853,9,2
3619,10,2
3726,11,2
3225,12,2
3358,13,2
3940,14,2
3548,15,2
4332,16,2
5521,17,2
3913,18,2
3093,19,2
2150,20,2
1535,21,2
963,22,2
107,23,2
1,0,2
0,1,2
0,2,2
0,3,2
4,4,2
49,5,2
1345,6,2
4072,7,2
7057,8,2
5206,9,2
3859,10,2
3857,11,2
3677,12,2
3520,13,2
4112,14,2
3762,15,2
4026,16,2
5846,17,2
4227,18,2
2916,19,2
2324,20,2
1919,21,2
999,22,2
119,23,2
0,0,1
0,1,1
0,2,1
0,3,1
12,4,1
17,5,1
1282,6,1
3975,7,1
6990,8,1
4851,9,1
3800,10,1
3692,11,1
3888,12,1
3766,13,1
4563,14,1
4332,15,1
4681,16,1
6168,17,1
5006,18,1
3629,19,1
3088,20,1
2320,21,1
1396,22,1
173,23,1
3,0,1
2,1,1
0,2,1
0,3,1
8,4,1
201,5,1
975,6,1
2404,7,1
3914,8,1
4874,9,1
4501,10,1
4359,11,1
4212,12,1
4591,13,1
5189,14,1
4492,15,1
4446,16,1
4038,17,1
3139,18,1
2775,19,1
2537,20,1
1906,21,1
1202,22,1
131,23,1
3,0,1
0,1,1
0,2,1
0,3,1
4,4,1
117,5,1
1057,6,1
2058,7,1
3569,8,1
4353,9,1
4508,10,1
4335,11,1
4540,12,1
4625,13,1
5516,14,1
4973,15,1
4964,16,1
4184,17,1
3360,18,1
3820,19,1
