Num,Minute,DateType
0,0,3
0,1,3
0,2,3
0,3,3
6,4,3
29,5,3
300,6,3
671,7,3
1192,8,3
1005,9,3
1247,10,3
1382,11,3
1569,12,3
1535,13,3
1672,14,3
1785,15,3
2177,16,3
1877,17,3
1562,18,3
1271,19,3
1287,20,3
896,21,3
769,22,3
185,23,3
3,0,2
0,1,2
0,2,2
0,3,2
3,4,2
16,5,2
449,6,2
3539,7,2
7008,8,2
2537,9,2
1313,10,2
1165,11,2
1383,12,2
1363,13,2
1375,14,2
1558,15,2
2058,16,2
4537,17,2
4057,18,2
1873,19,2
1532,20,2
1150,21,2
633,22,2
130,23,2
2,0,2
4,1,2
5,2,2
1,3,2
5,4,2
9,5,2
382,6,2
3237,7,2
7002,8,2
2676,9,2
1412,10,2
1282,11,2
1296,12,2
1512,13,2
1285,14,2
1513,15,2
2117,16,2
4321,17,2
3832,18,2
2002,19,2
1644,20,2
1511,21,2
732,22,2
125,23,2
7,0,1
5,1,1
1,2,1
0,3,1
6,4,1
10,5,1
369,6,1
3353,7,1
6794,8,1
2698,9,1
1414,10,1
1368,11,1
1473,12,1
1437,13,1
1491,14,1
1938,15,1
2194,16,1
4645,17,1
4330,18,1
2077,19,1
1760,20,1
1654,21,1
825,22,1
174,23,1
9,0,1
26,1,1
3,2,1
0,3,1
8,4,1
2,5,1
212,6,1
1073,7,1
2292,8,1
1871,9,1
1463,10,1
1533,11,1
1605,12,1
1711,13,1
1808,14,1
1852,15,1
2253,16,1
2414,17,1
1932,18,1
1273,19,1
1362,20,1
1203,21,1
859,22,1
136,23,1
2,0,1
0,1,1
2,2,1
0,3,1
4,4,1
5,5,1
166,6,1
849,7,1
1616,8,1
1476,9,1
1267,10,1
1435,11,1
1683,12,1
1705,13,1
1897,14,1
1877,15,1
2429,16,1
2145,17,1
1659,18,1
1225,19,1
1301,20,1
1096,21,1
643,22,1
113,23,1
5,0,1
0,1,1
5,2,1
0,3,1
4,4,1
13,5,1
474,6,1
3468,7,1
6936,8,1
2688,9,1
1446,10,1
1197,11,1
1247,12,1
1455,13,1
1231,14,1
1559,15,1
2025,16,1
4266,17,1
4084,18,1
1938,19,1
1569,20,1
1303,21,1
671,22,1
103,23,1
1,0,1
0,1,1
0,2,1
0,3,1
5,4,1
7,5,1
419,6,1
3461,7,1
6884,8,1
2696,9,1
1510,10,1
1264,11,1
1418,12,1
1447,13,1
1289,14,1
1634,15,1
2007,16,1
4335,17,1
3855,18,1
1878,19,1
1677,20,1
1423,21,1
753,22,1
129,23,1
11,0,2
4,1,2
11,2,2
6,3,2
6,4,2
14,5,2
433,6,2
3527,7,2
7089,8,2
2603,9,2
1453,10,2
1282,11,2
1385,12,2
1390,13,2
1365,14,2
1570,15,2
2069,16,2
4457,17,2
4028,18,2
2081,19,2
1726,20,2
1391,21,2
864,22,2
156,23,2
15,0,2
18,1,2
10,2,2
0,3,2
4,4,2
7,5,2
392,6,2
3480,7,2
7434,8,2
2623,9,2
1785,10,2
1450,11,2
1543,12,2
1566,13,2
1325,14,2
1620,15,2
2084,16,2
4430,17,2
3913,18,2
2082,19,2
1825,20,2
1596,21,2
874,22,2
142,23,2
7,0,1
0,1,1
8,2,1
0,3,1
8,4,1
22,5,1
388,6,1
3449,7,1
7041,8,1
2650,9,1
1416,10,1
1424,11,1
1484,12,1
1517,13,1
1518,14,1
2010,15,1
2297,16,1
4495,17,1
4297,18,1
2164,19,1
1864,20,1
1826,21,1
949,22,1
190,23,1
10,0,1
0,1,1
4,2,1
0,3,1
6,4,1
13,5,1
230,6,1
1152,7,1
2234,8,1
1898,9,1
1595,10,1
1540,11,1
1734,12,1
1748,13,1
1861,14,1
1846,15,1
2427,16,1
2621,17,1
1954,18,1
1442,19,1
1421,20,1
1469,21,1
953,22,1
128,23,1
5,0,1
5,1,1
11,2,1
1,3,1
6,4,1
8,5,1
159,6,1
886,7,1
1581,8,1
1481,9,1
1353,10,1
1431,11,1
1605,12,1
1763,13,1
1848,14,1
1986,15,1
2357,16,1
2348,17,1
1754,18,1
1271,19,1
1452,20,1
1096,21,1
731,22,1
