Num,Minute,DateType,day,Time,maxtemperature,mintemperature,temperature,weather
0,0,3,2019-01-01,0,3,1,2.0,阴
0,1,3,2019-01-01,1,3,1,2.0,阴
0,2,3,2019-01-01,2,3,1,2.0,阴
0,3,3,2019-01-01,3,3,1,2.0,阴
0,4,3,2019-01-01,4,3,1,2.0,阴
40,5,3,2019-01-01,5,3,1,2.0,阴
959,6,3,2019-01-01,6,3,1,2.0,阴
1723,7,3,2019-01-01,7,3,1,2.0,阴
1914,8,3,2019-01-01,8,3,1,2.0,阴
2151,9,3,2019-01-01,9,3,1,2.0,阴
2725,10,3,2019-01-01,10,3,1,2.0,阴
3160,11,3,2019-01-01,11,3,1,2.0,阴
4936,12,3,2019-01-01,12,3,1,2.0,阴
4559,13,3,2019-01-01,13,3,1,2.0,阴
5466,14,3,2019-01-01,14,3,1,2.0,阴
5678,15,3,2019-01-01,15,3,1,2.0,阴
5775,16,3,2019-01-01,16,3,1,2.0,阴
5806,17,3,2019-01-01,17,3,1,2.0,阴
4773,18,3,2019-01-01,18,3,1,2.0,阴
3636,19,3,2019-01-01,19,3,1,2.0,阴
3699,20,3,2019-01-01,20,3,1,2.0,阴
2876,21,3,2019-01-01,21,3,1,2.0,阴
1479,22,3,2019-01-01,22,3,1,2.0,阴
419,23,3,2019-01-01,23,3,1,2.0,阴
11,0,2,2019-01-02,0,3,2,2.5,雨夹雪
0,1,2,2019-01-02,1,3,2,2.5,雨夹雪
1,2,2,2019-01-02,2,3,2,2.5,雨夹雪
0,3,2,2019-01-02,3,3,2,2.5,雨夹雪
2,4,2,2019-01-02,4,3,2,2.5,雨夹雪
40,5,2,2019-01-02,5,3,2,2.5,雨夹雪
746,6,2,2019-01-02,6,3,2,2.5,雨夹雪
3437,7,2,2019-01-02,7,3,2,2.5,雨夹雪
3343,8,2,2019-01-02,8,3,2,2.5,雨夹雪
2026,9,2,2019-01-02,9,3,2,2.5,雨夹雪
1580,10,2,2019-01-02,10,3,2,2.5,雨夹雪
1819,11,2,2019-01-02,11,3,2,2.5,雨夹雪
2031,12,2,2019-01-02,12,3,2,2.5,雨夹雪
1956,13,2,2019-01-02,13,3,2,2.5,雨夹雪
1969,14,2,2019-01-02,14,3,2,2.5,雨夹雪
2189,15,2,2019-01-02,15,3,2,2.5,雨夹雪
2584,16,2,2019-01-02,16,3,2,2.5,雨夹雪
3127,17,2,2019-01-02,17,3,2,2.5,雨夹雪
3273,18,2,2019-01-02,18,3,2,2.5,雨夹雪
2222,19,2,2019-01-02,19,3,2,2.5,雨夹雪
